speed_current_kmh,speed_avg_5min_kmh,distance_remaining_km,stops_remaining,hour_of_day,day_of_week,is_peak_hour,traffic_delay_minutes,trip_progress_pct,route_total_km,actual_eta_minutes,route_id,congestion_factor
26.38,33.41,7.043,5,12,0,0,0.89,17.1,8.5,21.31,R1,1.064
32.2,33.41,6.011,5,12,0,0,0.76,29.3,8.5,14.23,R1,1.064
33.15,33.41,4.979,4,12,0,0,0.63,41.4,8.5,13.47,R1,1.064
31.33,33.41,3.946,3,12,0,0,0.5,53.6,8.5,12.37,R1,1.064
29.91,33.41,2.914,3,12,0,0,0.37,65.7,8.5,8.29,R1,1.064
30.73,33.41,1.882,2,12,0,0,0.24,77.9,8.5,6.58,R1,1.064
33.32,33.41,0.85,1,12,0,0,0.11,90.0,8.5,1.92,R1,1.064
21.34,21.61,8.075,6,17,1,0,12.02,5.0,8.5,30.86,R1,1.708
19.54,21.61,7.043,5,17,1,0,10.48,17.1,8.5,22.2,R1,1.708
21.51,21.61,6.011,5,17,1,0,8.94,29.3,8.5,19.42,R1,1.708
27.59,21.61,4.979,4,17,1,0,7.41,41.4,8.5,18.04,R1,1.708
21.91,21.61,3.946,3,17,1,0,5.87,53.6,8.5,14.46,R1,1.708
15.93,21.61,2.914,3,17,1,0,4.34,65.7,8.5,12.19,R1,1.708
24.88,21.61,1.882,2,17,1,0,2.8,77.9,8.5,7.56,R1,1.708
25.99,21.61,0.85,1,17,1,0,1.26,90.0,8.5,0.9,R1,1.708
20.69,22.37,6.65,5,17,3,0,9.25,5.0,7.0,26.12,R5,1.656
18.88,22.37,5.8,5,17,3,0,8.07,17.1,7.0,22.44,R5,1.656
26.68,22.37,4.95,4,17,3,0,6.88,29.3,7.0,17.45,R5,1.656
21.11,22.37,4.1,3,17,3,0,5.7,41.4,7.0,15.53,R5,1.656
26.01,22.37,3.25,3,17,3,0,4.52,53.6,7.0,13.75,R5,1.656
20.87,22.37,2.4,2,17,3,0,3.34,65.7,7.0,8.43,R5,1.656
25.04,22.37,1.55,2,17,3,0,2.16,77.9,7.0,5.86,R5,1.656
26.31,22.37,0.7,1,17,3,0,0.97,90.0,7.0,4.38,R5,1.656
33.2,26.57,11.4,9,6,0,0,5.52,5.0,12.0,32.07,R2,1.311
28.55,26.57,9.943,8,6,0,0,4.81,17.1,12.0,31.25,R2,1.311
25.34,26.57,8.486,7,6,0,0,4.11,29.3,12.0,26.46,R2,1.311
29.1,26.57,7.029,6,6,0,0,3.4,41.4,12.0,25.57,R2,1.311
30.89,26.57,5.571,5,6,0,0,2.7,53.6,12.0,17.84,R2,1.311
29.38,26.57,4.114,4,6,0,0,1.99,65.7,12.0,14.19,R2,1.311
30.13,26.57,2.657,2,6,0,0,1.29,77.9,12.0,6.6,R2,1.311
32.75,26.57,1.2,1,6,0,0,0.58,90.0,12.0,6.07,R2,1.311
32.16,27.68,8.075,6,9,3,0,6.01,5.0,8.5,26.42,R1,1.448
22.78,27.68,7.043,5,9,3,0,5.25,17.1,8.5,23.23,R1,1.448
27.76,27.68,6.011,5,9,3,0,4.48,29.3,8.5,19.68,R1,1.448
27.1,27.68,4.979,4,9,3,0,3.71,41.4,8.5,15.6,R1,1.448
23.85,27.68,3.946,3,9,3,0,2.94,53.6,8.5,9.08,R1,1.448
28.35,27.68,2.914,3,9,3,0,2.17,65.7,8.5,10.94,R1,1.448
20.04,27.68,1.882,2,9,3,0,1.4,77.9,8.5,4.79,R1,1.448
21.17,27.68,0.85,1,9,3,0,0.63,90.0,8.5,2.47,R1,1.448
21.8,19.7,11.4,9,7,4,1,13.92,5.0,12.0,42.48,R2,1.749
23.09,19.7,9.943,8,7,4,1,12.15,17.1,12.0,40.27,R2,1.749
16.39,19.7,8.486,7,7,4,1,10.37,29.3,12.0,32.09,R2,1.749
19.89,19.7,7.029,6,7,4,1,8.59,41.4,12.0,31.03,R2,1.749
19.64,19.7,5.571,5,7,4,1,6.81,53.6,12.0,22.14,R2,1.749
19.28,19.7,4.114,4,7,4,1,5.03,65.7,12.0,17.27,R2,1.749
18.07,19.7,2.657,2,7,4,1,3.25,77.9,12.0,10.01,R2,1.749
18.08,19.7,1.2,1,7,4,1,1.47,90.0,12.0,5.03,R2,1.749
15.78,18.97,8.075,6,16,4,1,14.54,5.0,8.5,30.6,R1,2.117
20.18,18.97,7.043,5,16,4,1,12.68,17.1,8.5,30.55,R1,2.117
18.86,18.97,6.011,5,16,4,1,10.83,29.3,8.5,26.12,R1,2.117
21.81,18.97,4.979,4,16,4,1,8.97,41.4,8.5,22.99,R1,2.117
18.22,18.97,3.946,3,16,4,1,7.11,53.6,8.5,15.28,R1,2.117
20.77,18.97,2.914,3,16,4,1,5.25,65.7,8.5,13.42,R1,2.117
19.04,18.97,1.882,2,16,4,1,3.39,77.9,8.5,7.56,R1,2.117
17.2,18.97,0.85,1,16,4,1,1.53,90.0,8.5,3.63,R1,2.117
33.85,27.71,8.075,6,11,1,0,0.36,5.0,8.5,19.28,R1,1.034
34.52,27.71,7.043,5,11,1,0,0.32,17.1,8.5,15.74,R1,1.034
31.26,27.71,6.011,5,11,1,0,0.27,29.3,8.5,15.38,R1,1.034
33.71,27.71,4.979,4,11,1,0,0.22,41.4,8.5,14.04,R1,1.034
35.86,27.71,3.946,3,11,1,0,0.18,53.6,8.5,9.59,R1,1.034
34.23,27.71,2.914,3,11,1,0,0.13,65.7,8.5,6.68,R1,1.034
31.45,27.71,1.882,2,11,1,0,0.08,77.9,8.5,6.36,R1,1.034
28.63,27.71,0.85,1,11,1,0,0.04,90.0,8.5,3.41,R1,1.034
19.54,16.65,14.25,11,8,1,1,19.87,5.0,15.0,53.24,R4,1.772
21.01,16.65,12.429,10,8,1,1,17.33,17.1,15.0,45.91,R4,1.772
12.01,16.65,10.607,8,8,1,1,14.79,29.3,15.0,37.84,R4,1.772
20.19,16.65,8.786,7,8,1,1,12.25,41.4,15.0,33.98,R4,1.772
16.26,16.65,6.964,6,8,1,1,9.71,53.6,15.0,27.74,R4,1.772
23.74,16.65,5.143,4,8,1,1,7.17,65.7,15.0,21.61,R4,1.772
15.4,16.65,3.321,3,8,1,1,4.63,77.9,15.0,14.08,R4,1.772
13.41,16.65,1.5,2,8,1,1,2.09,90.0,15.0,6.11,R4,1.772
15.65,15.9,6.65,5,16,3,1,12.87,5.0,7.0,25.42,R5,1.904
13.47,15.9,5.8,5,16,3,1,11.22,17.1,7.0,22.96,R5,1.904
20.0,15.9,4.95,4,16,3,1,9.58,29.3,7.0,20.47,R5,1.904
21.53,15.9,4.1,3,16,3,1,7.93,41.4,7.0,15.83,R5,1.904
21.63,15.9,3.25,3,16,3,1,6.29,53.6,7.0,15.17,R5,1.904
14.74,15.9,2.4,2,16,3,1,4.64,65.7,7.0,6.34,R5,1.904
18.66,15.9,1.55,2,16,3,1,3.0,77.9,7.0,5.39,R5,1.904
16.41,15.9,0.7,1,16,3,1,1.35,90.0,7.0,3.61,R5,1.904
32.71,27.74,6.65,5,10,4,0,1.09,5.0,7.0,17.28,R5,1.109
30.41,27.74,5.8,5,10,4,0,0.95,17.1,7.0,13.47,R5,1.109
34.93,27.74,4.95,4,10,4,0,0.81,29.3,7.0,10.0,R5,1.109
28.98,27.74,4.1,3,10,4,0,0.67,41.4,7.0,9.27,R5,1.109
30.51,27.74,3.25,3,10,4,0,0.53,53.6,7.0,8.38,R5,1.109
28.67,27.74,2.4,2,10,4,0,0.39,65.7,7.0,3.38,R5,1.109
23.62,27.74,1.55,2,10,4,0,0.25,77.9,7.0,3.06,R5,1.109
27.63,27.74,0.7,1,10,4,0,0.11,90.0,7.0,3.36,R5,1.109
34.9,31.48,6.65,5,14,4,0,2.36,5.0,7.0,17.96,R5,1.208
27.78,31.48,5.8,5,14,4,0,2.06,17.1,7.0,18.2,R5,1.208
32.38,31.48,4.95,4,14,4,0,1.76,29.3,7.0,14.86,R5,1.208
24.75,31.48,4.1,3,14,4,0,1.46,41.4,7.0,11.69,R5,1.208
28.72,31.48,3.25,3,14,4,0,1.15,53.6,7.0,7.91,R5,1.208
31.32,31.48,2.4,2,14,4,0,0.85,65.7,7.0,6.07,R5,1.208
25.46,31.48,1.55,2,14,4,0,0.55,77.9,7.0,4.69,R5,1.208
31.29,31.48,0.7,1,14,4,0,0.25,90.0,7.0,2.57,R5,1.208
